,ID,color,shell_length_initial,shell_width_initial,shell_depth_initial,wet_weight_initial,tank,cage,rep,date,
8 5 1,313,red-dark green,56.11,27.24,24.04,19.4445,8,5,1,7/7/2024,
8 5 2,314,red-dark green,42.41,21.44,17.59,8.478,8,5,2,7/7/2024,
8 5 3,315,red-dark green,47.89,21.23,19.31,10.3532,8,5,3,7/7/2024,
8 5 4,316,red-dark green,52.18,24.45,22.32,19.0803,8,5,4,7/7/2024,
8 5 5,317,red-dark green,43.1,22.05,18.61,9.8267,8,5,5,7/7/2024,
8 5 6,318,red-dark green,53.11,26.89,27.23,22.6297,8,5,6,7/7/2024,
13 1 1,319,dark green-pink,49.21,24.35,21.66,16.2468,13,1,1,7/7/2024,
13 1 2,320,dark green-pink,46.59,23.18,22.08,16.5503,13,1,2,7/7/2024,
13 1 3,321,dark green-pink,48.06,23.06,21.82,14.6983,13,1,3,7/7/2024,
13 1 4,322,dark green-pink,44.11,21.13,20.46,12.2808,13,1,4,7/7/2024,
13 1 5,323,dark green-pink,48.6,23.64,20.52,13.2786,13,1,5,7/7/2024,
13 1 6,324,dark green-pink,43.83,20.53,21.26,14.1279,13,1,6,7/7/2024,
13 2 1,325,dark green-pink,51.79,23.99,21.4,17.3042,13,2,1,7/7/2024,
13 2 2,326,dark green-pink,47.11,23.02,23.84,16.6923,13,2,2,7/7/2024,
13 2 3,327,dark green-pink,46.2,21.48,20.82,11.7806,13,2,3,7/7/2024,
13 2 4,328,dark green-pink,46.47,23.39,21.84,16.4544,13,2,4,7/7/2024,
13 2 5,329,dark green-pink,47.97,24.3,20.41,10.5371,13,2,5,7/7/2024,
13 2 6,330,dark green-pink,40.04,21.16,18.48,10.9147,13,2,6,7/7/2024,
13 3 1,331,dark green-pink,52.44,22.8,22.71,16.3959,13,3,1,7/7/2024,
13 3 2,332,dark green-pink,43.62,20.67,19.96,11.3671,13,3,2,7/7/2024,
13 3 3,333,dark green-pink,53.87,26.03,28.03,27.3479,13,3,3,7/7/2024,
13 3 4,334,dark green-pink,46.55,20.42,22.12,14.9834,13,3,4,7/7/2024,
13 3 5,335,dark green-pink,49.22,25.18,22.78,19.0325,13,3,5,7/7/2024,
13 3 6,336,dark green-pink,41.08,18.82,17.13,9.7857,13,3,6,7/7/2024,
13 4 1,337,dark green-pink,43.97,22.66,20.03,13.6309,13,4,1,7/7/2024,
13 4 2,338,dark green-pink,41.97,21.8,19.6,12.0001,13,4,2,7/7/2024,
13 4 3,339,dark green-pink,48.22,22.15,20.45,12.618,13,4,3,7/7/2024,
13 4 4,340,dark green-pink,44.07,21.26,19.57,13.7601,13,4,4,7/7/2024,
13 4 5,341,dark green-pink,53.98,27.31,27,20.6413,13,4,5,7/7/2024,
13 4 6,342,dark green-pink,49.75,22.86,22.78,15.2461,13,4,6,7/7/2024,
13 5 1,343,dark green-pink,57.01,23.25,23.77,23.384,13,5,1,7/7/2024,
13 5 2,344,dark green-pink,39.19,18.72,17.13,8.1659,13,5,2,7/7/2024,
13 5 3,345,dark green-pink,41.39,19.56,19.45,10.8984,13,5,3,7/7/2024,
13 5 4,346,dark green-pink,50.04,24.05,22.91,15.3907,13,5,4,7/7/2024,
13 5 5,347,dark green-pink,49.05,23.69,18.98,11.3431,13,5,5,7/7/2024,
13 5 6,348,dark green-pink,44.4,20.19,19.11,11.2759,13,5,6,7/7/2024,
10 1 1,351,dark green-light green,49.3,23.19,21.37,15.6754,10,1,1,7/7/2024,
10 1 2,352,dark green-light green,38.97,18.79,17.93,7.5958,10,1,2,7/7/2024,
10 1 3,353,dark green-light green,39.44,20.33,17.84,8.6502,10,1,3,7/7/2024,
10 1 4,354,dark green-light green,48.67,22.94,23.14,17.1165,10,1,4,7/7/2024,
10 1 5,355,dark green-light green,45.86,22.33,20.17,11.8653,10,1,5,7/7/2024,
10 1 6,356,dark green-light green,43.41,20.44,19.64,11.0583,10,1,6,7/7/2024,
10 2 1,357,dark green-light green,40.42,19.68,40.29,8.8856,10,2,1,7/7/2024,
10 2 2,358,dark green-light green,55.37,24.21,24.77,18.3791,10,2,2,7/7/2024,
10 2 3,359,dark green-light green,51.05,22.26,24.57,19.3153,10,2,3,7/7/2024,
10 2 4,360,dark green-light green,46.59,22.75,21.33,14.5374,10,2,4,7/7/2024,
10 2 5,361,dark green-light green,48.65,23.19,21.68,16.2638,10,2,5,7/7/2024,
10 2 6,362,dark green-light green,41.01,20.87,19.29,9.9062,10,2,6,7/7/2024,
10 3 1,363,dark green-light green,51.54,25.77,22.78,19.2804,10,3,1,7/7/2024,
10 3 2,364,dark green-light green,43.01,20.62,19.07,10.7513,10,3,2,7/7/2024,
10 3 3,365,dark green-light green,45.23,21.64,20.54,12.8991,10,3,3,7/7/2024,
10 3 4,366,dark green-light green,40.84,19.3,17.55,10.357,10,3,4,7/7/2024,
10 3 5,367,dark green-light green,45.11,22.3,22.89,17.0295,10,3,5,7/7/2024,
10 3 6,368,dark green-light green,40.76,20,19.08,9.1194,10,3,6,7/7/2024,
10 4 1,369,dark green-light green,50.09,24.56,23.73,19.2631,10,4,1,7/7/2024,
10 4 2,370,dark green-light green,38.41,18.73,17.42,19.64,10,4,2,7/7/2024,
10 4 3,371,dark green-light green,50.74,24.14,23.34,17.1344,10,4,3,7/7/2024,
10 4 4,372,dark green-light green,42.05,20.39,19.09,11.463,10,4,4,7/7/2024,
10 4 5,373,dark green-light green,53.66,25.76,22.49,18.8406,10,4,5,7/7/2024,
10 4 6,374,dark green-light green,45.69,19.39,20.09,8.392,10,4,6,7/7/2024,
10 5 1,375,dark green-light green,56.85,26.66,26.42,21.0402,10,5,1,7/7/2024,
10 5 2,376,dark green-light green,43.74,22.31,19.97,12.4041,10,5,2,7/7/2024,
10 5 3,377,dark green-light green,47.6,22.57,18.63,14.0574,10,5,3,7/7/2024,
10 5 4,378,dark green-light green,44.05,22.7,19,11.1596,10,5,4,7/7/2024,
10 5 5,379,dark green-light green,55.44,24.91,21.02,18.8859,10,5,5,7/7/2024,
10 5 6,380,dark green-light green,44.69,21.23,18.87,9.8657,10,5,6,7/7/2024,
18 1 1,381,pink-light green,54.33,27.6,22.98,20.8476,18,1,1,7/7/2024,
18 1 2,382,pink-light green,41.06,20.35,17.45,11.2695,18,1,2,7/7/2024,
18 1 3,383,pink-light green,50.27,23.44,21.18,13.9248,18,1,3,7/7/2024,
18 1 4,384,pink-light green,45.41,23.95,19.53,16.7521,18,1,4,7/7/2024,
18 1 5,385,pink-light green,50.29,25.5,22.59,22.3893,18,1,5,7/7/2024,
18 1 6,386,pink-light green,48.34,21.61,21.32,15.4153,18,1,6,7/7/2024,
18 2 1,387,pink-light green,53.15,22.27,20.64,17.3044,18,2,1,7/7/2024,
18 2 2,388,pink-light green,44.46,22.2,19.26,10.5813,18,2,2,7/7/2024,
18 2 3,389,pink-light green,40.53,19.94,17.08,8.7213,18,2,3,7/7/2024,
18 2 4,390,pink-light green,48.58,23.43,20.22,15.779,18,2,4,7/7/2024,
18 2 5,391,pink-light green,45.85,21.58,19.65,13.4281,18,2,5,7/7/2024,
18 2 6,392,pink-light green,39.82,20.62,17.72,9.4169,18,2,6,7/7/2024,
18 3 1,393,pink-light green,48.44,22.7,21.8,14.2458,18,3,1,7/7/2024,
18 3 2,394,pink-light green,50.9,22.13,21.1,14.569,18,3,2,7/7/2024,
18 3 3,395,pink-light green,42.84,22.01,19.66,11.1992,18,3,3,7/7/2024,
18 3 4,396,pink-light green,51.49,24.83,22.15,17.7858,18,3,4,7/7/2024,
18 3 5,397,pink-light green,39.49,18.64,16.42,8.3792,18,3,5,7/7/2024,
18 3 6,398,pink-light green,49.6,23.13,22.13,15.8831,18,3,6,7/7/2024,
18 4 1,399,pink-light green,47.36,20.06,16.2,10.4726,18,4,1,7/7/2024,
18 4 2,400,pink-light green,53.6,22.97,22.74,18.4042,18,4,2,7/7/2024,
18 4 3,401,pink-light green,42.74,21.67,19.93,13.0024,18,4,3,7/7/2024,
18 4 4,402,pink-light green,52.8,25.13,21.18,17.0204,18,4,4,7/7/2024,
18 4 5,403,pink-light green,42.96,20.91,19.78,12.4368,18,4,5,7/7/2024,
18 4 6,404,pink-light green,47.56,22.62,20.66,13.795,18,4,6,7/7/2024,
18 5 1,405,pink-light green,59.29,27.19,20.23,20.4217,18,5,1,7/7/2024,
18 5 2,406,pink-light green,42.52,22.57,20.31,13.5026,18,5,2,7/7/2024,
18 5 3,407,pink-light green,50.04,21.92,21.2,15.0606,18,5,3,7/7/2024,
18 5 4,408,pink-light green,43.44,21.05,18.91,10.7051,18,5,4,7/7/2024,
18 5 5,409,pink-light green,39.25,19.25,18.93,9.4984,18,5,5,7/7/2024,
18 5 6,410,pink-light green,44.24,22.07,20.01,13.3004,18,5,6,7/7/2024,
17 1 1,411,pink-dark green,44.58,21.28,23.16,17.9629,17,1,1,7/7/2024,
17 1 2,412,pink-dark green,43.01,22.26,20.06,10.6598,17,1,2,7/7/2024,
17 1 3,413,pink-dark green,54.37,24,22.11,19.2345,17,1,3,7/7/2024,
17 1 4,414,pink-dark green,40.97,20.17,17.87,10.2475,17,1,4,7/7/2024,
17 1 5,415,pink-dark green,47.21,23.84,21.84,14.2746,17,1,5,7/7/2024,
17 1 6,416,pink-dark green,48.28,22.52,20.34,12.7025,17,1,6,7/7/2024,
17 2 1,417,pink-dark green,51.82,27.4,22.56,17.0417,17,2,1,7/7/2024,
17 2 2,418,pink-dark green,41.78,20.65,17.87,11.122,17,2,2,7/7/2024,
17 2 3,419,pink-dark green,44.24,22.08,22.07,14.5789,17,2,3,7/7/2024,
17 2 4,420,pink-dark green,52.79,25.28,24.93,20.6493,17,2,4,7/7/2024,
17 2 5,421,pink-dark green,42.88,21.02,19.1,11.4322,17,2,5,7/7/2024,
17 2 6,422,pink-dark green,43.39,21.42,19.16,12.7248,17,2,6,7/7/2024,
17 3 1,423,pink-dark green,57.35,25.79,23.34,22.0981,17,3,1,7/7/2024,
17 3 2,424,pink-dark green,43.72,21.05,18.83,12.1615,17,3,2,7/7/2024,
17 3 3,425,pink-dark green,46.36,19.58,23.43,13.6767,17,3,3,7/7/2024,
17 3 4,426,pink-dark green,50.22,23.95,22.15,18.4554,17,3,4,7/7/2024,
17 3 5,427,pink-dark green,50.53,24.64,22.8,16.6423,17,3,5,7/7/2024,
17 3 6,428,pink-dark green,41.27,20.74,20.84,12.3974,17,3,6,7/7/2024,
17 4 1,429,pink-dark green,48.97,24.34,22.35,16.6202,17,4,1,7/7/2024,
17 4 2,430,pink-dark green,39.65,20.99,18.28,9.2629,17,4,2,7/7/2024,
17 4 3,431,pink-dark green,51.39,28.11,20.98,16.7426,17,4,3,7/7/2024,
17 4 4,432,pink-dark green,48.26,23.4,20.99,13.4476,17,4,4,7/7/2024,
17 4 5,433,pink-dark green,41.03,20.17,20.38,12.0707,17,4,5,7/7/2024,
17 4 6,434,pink-dark green,43.26,21.97,18.49,11.8943,17,4,6,7/7/2024,
17 5 1,435,pink-dark green,43.69,21.4,19.28,9.2835,17,5,1,7/7/2024,
17 5 2,436,pink-dark green,57.05,27.79,23.44,21.3767,17,5,2,7/7/2024,
17 5 3,437,pink-dark green,46.83,22.93,21.06,16.7966,17,5,3,7/7/2024,
17 5 4,438,pink-dark green,41.76,20.47,17.5,8.2006,17,5,4,7/7/2024,
17 5 5,439,pink-dark green,40.61,19.3,16.98,8.7114,17,5,5,7/7/2024,
17 5 6,440,pink-dark green,46.7,20.72,19.46,12.3466,17,5,6,7/7/2024,
12 1 1,441,light green-red,45.25,22.95,19.99,14.0763,12,1,1,7/7/2024,
12 1 2,442,light green-red,40.74,20.43,16.65,9.3048,12,1,2,7/7/2024,
12 1 3,443,light green-red,56.09,26.75,22.32,19.6559,12,1,3,7/7/2024,
12 1 4,444,light green-red,49.77,24.74,22.35,18.13,12,1,4,7/7/2024,
12 1 5,445,light green-red,46.26,19.92,19.49,11.8251,12,1,5,7/7/2024,
12 1 6,446,light green-red,44.35,20.34,18.47,9.391,12,1,6,7/7/2024,
12 2 1,447,light green-red,56.76,24.32,23.48,22.8073,12,2,1,7/7/2024,
12 2 2,448,light green-red,40.91,19.8,20.52,9.809,12,2,2,7/7/2024,
12 2 3,449,light green-red,51.02,22.29,20.97,15.3888,12,2,3,7/7/2024,
12 2 4,450,light green-red,45.81,21.04,22.14,13.9948,12,2,4,7/7/2024,
12 2 5,451,light green-red,51.36,22.51,21.18,15.4705,12,2,5,7/7/2024,
12 2 6,452,light green-red,41.67,18.77,18.73,10.5566,12,2,6,7/7/2024,
12 3 1,453,light green-red,38,19.62,17.26,8.064,12,3,1,7/7/2024,
12 3 2,454,light green-red,51.81,26.22,23.69,22.1362,12,3,2,7/7/2024,
12 3 3,455,light green-red,49.24,22.86,22.53,15.3868,12,3,3,7/7/2024,
12 3 4,456,light green-red,42.15,19.39,19.3,9.1397,12,3,4,7/7/2024,
12 3 5,457,light green-red,60.76,29.3,28.6,30.7379,12,3,5,7/7/2024,
12 3 6,458,light green-red,43.13,18.89,18.77,8.9542,12,3,6,7/7/2024,
12 4 1,459,light green-red,52.37,25.93,21.44,17.9107,12,4,1,7/7/2024,
12 4 2,460,light green-red,42.06,21.68,17.93,9.7654,12,4,2,7/7/2024,
12 4 3,461,light green-red,45.64,24.75,21.35,15.6779,12,4,3,7/7/2024,
12 4 4,462,light green-red,45.4,20.63,21.71,13.9041,12,4,4,7/7/2024,
12 4 5,463,light green-red,38.8,20.62,17.8,9.3057,12,4,5,7/7/2024,
12 4 6,464,light green-red,46.86,22.17,21.19,14.3315,12,4,6,7/7/2024,
12 5 1,465,light green-red,52.08,24.65,20.87,16.3327,12,5,1,7/7/2024,
12 5 2,466,light green-red,44.37,22.64,20.01,11.9448,12,5,2,7/7/2024,
12 5 3,467,light green-red,49.13,23.62,23.91,19.9537,12,5,3,7/7/2024,
12 5 4,468,light green-red,39.32,18.15,16.84,7.4817,12,5,4,7/7/2024,
12 5 5,469,light green-red,53.78,24.71,23.96,20.0475,12,5,5,7/7/2024,
12 5 6,470,light green-red,44.33,22.63,17.54,10.8173,12,5,6,7/7/2024,
5 1 1,471,pink-red,48.16,23.88,21.16,15.699,5,1,1,7/7/2024,
5 1 2,472,pink-red,51.73,22.59,22.33,16.4808,5,1,2,7/7/2024,
5 1 3,473,pink-red,42.32,22.15,20.9,11.4937,5,1,3,7/7/2024,
5 1 4,474,pink-red,50.9,23.63,23.94,19.5134,5,1,4,7/7/2024,
5 1 5,475,pink-red,44.7,19.83,18.73,9.9145,5,1,5,7/7/2024,
5 1 6,476,pink-red,41.44,21.71,18.15,10.3618,5,1,6,7/7/2024,
5 2 1,477,pink-red,40.62,19.87,18.64,8.4903,5,2,1,7/7/2024,
5 2 2,478,pink-red,45.15,21.56,20.22,11.8818,5,2,2,7/7/2024,
5 2 3,479,pink-red,53.39,23.7,24.36,17.6859,5,2,3,7/7/2024,
5 2 4,480,pink-red,39.06,20.41,18.62,9.995,5,2,4,7/7/2024,
5 2 5,481,pink-red,49.7,24.59,20.19,15.0269,5,2,5,7/7/2024,
5 2 6,482,pink-red,47.25,22.47,20.45,14.8162,5,2,6,7/7/2024,
5 3 1,483,pink-red,45.92,22.66,21.47,15.4317,5,3,1,7/7/2024,
5 3 2,484,pink-red,43.68,19.07,18.89,9.6183,5,3,2,7/7/2024,
5 3 3,485,pink-red,45.7,22.06,22.66,14.5867,5,3,3,7/7/2024,
5 3 4,486,pink-red,49.53,23.23,21.05,15.8024,5,3,4,7/7/2024,
5 3 5,487,pink-red,43.23,20.62,19.1,10.7938,5,3,5,7/7/2024,
5 3 6,488,pink-red,46.14,23.25,21.88,13.4742,5,3,6,7/7/2024,
5 4 1,489,pink-red,51.55,25.81,22.16,17.0415,5,4,1,7/7/2024,
5 4 2,490,pink-red,44.08,21.41,17.62,8.113,5,4,2,7/7/2024,
5 4 3,491,pink-red,48.37,24.03,22.24,16.3333,5,4,3,7/7/2024,
5 4 4,492,pink-red,46.22,23.83,19.07,13.7713,5,4,4,7/7/2024,
5 4 5,493,pink-red,40.14,19.59,20.89,10.2558,5,4,5,7/7/2024,
5 4 6,494,pink-red,46.57,20.98,21.22,14.651,5,4,6,7/7/2024,
5 5 1,495,pink-red,44.1,20.07,20.39,11.5286,5,5,1,7/7/2024,
5 5 2,496,pink-red,50.63,24.6,28.74,21.8779,5,5,2,7/7/2024,
5 5 3,497,pink-red,37.44,18.69,18.93,8.6973,5,5,3,7/7/2024,
5 5 4,498,pink-red,45.96,21.84,20.81,13.2883,5,5,4,7/7/2024,
5 5 5,499,pink-red,44.31,20.86,19.76,11.7293,5,5,5,7/7/2024,
5 5 6,500,pink-red,49.45,24.52,21.08,15.7104,5,5,6,7/7/2024,
7 1 1,501,dark green-red,45.07,22.41,18.89,10.8229,7,1,1,7/7/2024,
7 1 2,502,dark green-red,47.55,22.71,20.42,11.47,7,1,2,7/7/2024,
7 1 3,503,dark green-red,41.49,19.9,17.81,10.0029,7,1,3,7/7/2024,
7 1 4,504,dark green-red,45.2,22.39,19.79,13.4885,7,1,4,7/7/2024,
7 1 5,505,dark green-red,39.11,18.95,15.28,7.9101,7,1,5,7/7/2024,
7 1 6,506,dark green-red,55.93,23.27,22.46,19.0857,7,1,6,7/7/2024,
7 2 1,507,dark green-red,48.57,24.55,20.83,11.7338,7,2,1,7/7/2024,
7 2 2,508,dark green-red,38.09,18.52,17.68,8.6416,7,2,2,7/7/2024,
7 2 3,509,dark green-red,52.14,21.8,22.13,15.9063,7,2,3,7/7/2024,
7 2 4,510,dark green-red,44.22,20.12,21.76,11.9668,7,2,4,7/7/2024,
7 2 5,511,dark green-red,40.3,20.92,17.53,8.7007,7,2,5,7/7/2024,
7 2 6,512,dark green-red,45.2,21.21,21.53,13.6107,7,2,6,7/7/2024,
7 3 1,513,dark green-red,49.24,24.22,22.48,16.6859,7,3,1,7/7/2024,
7 3 2,514,dark green-red,46.6,21.12,19.75,13.3986,7,3,2,7/7/2024,
7 3 3,515,dark green-red,42.2,20.34,20.42,9.9983,7,3,3,7/7/2024,
7 3 4,516,dark green-red,48.38,21,20.24,12.6831,7,3,4,7/7/2024,
7 3 5,517,dark green-red,44.22,18.06,18.44,9.9632,7,3,5,7/7/2024,
7 3 6,518,dark green-red,43.3,22.1,20.54,11.2275,7,3,6,7/7/2024,
7 4 1,519,dark green-red,54.75,24.45,24.5,20.9237,7,4,1,7/7/2024,
7 4 2,520,dark green-red,41.72,20.14,18.67,9.5801,7,4,2,7/7/2024,
7 4 3,521,dark green-red,40.94,20.12,18.39,9.5128,7,4,3,7/7/2024,
7 4 4,522,dark green-red,42.59,19.78,22.25,10.9356,7,4,4,7/7/2024,
7 4 5,523,dark green-red,45.6,24.22,22.09,13.7518,7,4,5,7/7/2024,
7 4 6,524,dark green-red,53.62,24.91,25.69,20.8857,7,4,6,7/7/2024,
7 5 1,525,dark green-red,43.34,22.06,19.39,10.2788,7,5,1,7/7/2024,
7 5 2,526,dark green-red,56.68,25.28,24.85,21.4133,7,5,2,7/7/2024,
7 5 3,527,dark green-red,43.18,19.81,19.59,11.7738,7,5,3,7/7/2024,
7 5 4,528,dark green-red,47.39,21.73,21.17,15.4066,7,5,4,7/7/2024,
7 5 5,529,dark green-red,43,20.72,21.59,13.3915,7,5,5,7/7/2024,
7 5 6,530,dark green-red,46.47,21.57,18.41,11.7396,7,5,6,7/7/2024,
6 1 1,531,light green-dark green,50.38,22.97,21.75,16.8972,6,1,1,7/7/2024,
6 1 2,532,light green-dark green,41.7,22.17,18.5,8.7296,6,1,2,7/7/2024,
6 1 3,533,light green-dark green,42.39,21.64,18.69,10.8888,6,1,3,7/7/2024,
6 1 4,534,light green-dark green,44.72,20.79,23.37,15.2866,6,1,4,7/7/2024,
6 1 5,535,light green-dark green,38.49,20.07,14.98,6.6026,6,1,5,7/7/2024,
6 1 6,536,light green-dark green,42.56,20.21,17.38,8.2662,6,1,6,7/7/2024,
6 2 1,537,light green-dark green,48.1,23.81,22.99,13.1687,6,2,1,7/7/2024,
6 2 2,538,light green-dark green,36.89,18.59,19.98,8.7239,6,2,2,7/7/2024,
6 2 3,539,light green-dark green,46.46,23.71,24.09,17.0954,6,2,3,7/7/2024,
6 2 4,540,light green-dark green,44.68,22.79,21.33,11.7843,6,2,4,7/7/2024,
6 2 5,541,light green-dark green,49.97,21.75,21.83,14.5166,6,2,5,7/7/2024,
6 2 6,542,light green-dark green,43.15,22.47,18.18,10.9011,6,2,6,7/7/2024,
6 3 1,543,light green-dark green,53.38,25.04,24.39,20.2994,6,3,1,7/7/2024,
6 3 2,544,light green-dark green,46.68,21.93,20.1,14.7944,6,3,2,7/7/2024,
6 3 3,545,light green-dark green,42.35,21.14,17.43,8.8155,6,3,3,7/7/2024,
6 3 4,546,light green-dark green,52.93,24.86,24.53,19.0155,6,3,4,7/7/2024,
6 3 5,547,light green-dark green,38.99,17.58,15.61,7.2474,6,3,5,7/7/2024,
6 3 6,548,light green-dark green,45.62,24.26,22.6,16.0317,6,3,6,7/7/2024,
6 4 1,549,light green-dark green,45.76,21.14,18.46,12.2622,6,4,1,7/7/2024,
6 4 2,550,light green-dark green,42.31,21.09,18.17,12.2882,6,4,2,7/7/2024,
6 4 3,551,light green-dark green,45.29,22.42,18.38,11.1606,6,4,3,7/7/2024,
6 4 4,552,light green-dark green,40.57,21.64,20.19,11.2508,6,4,4,7/7/2024,
6 4 5,553,light green-dark green,46.48,21.14,20.72,13.8385,6,4,5,7/7/2024,
6 4 6,554,light green-dark green,46.8,22.52,21.52,14.2902,6,4,6,7/7/2024,
6 5 1,555,light green-dark green,46.17,22.31,22.44,15.169,6,5,1,7/7/2024,
6 5 2,556,light green-dark green,41.19,19.93,20.4,11.5058,6,5,2,7/7/2024,
6 5 3,557,light green-dark green,46.76,22.78,20.73,14.9751,6,5,3,7/7/2024,
6 5 4,558,light green-dark green,39.74,20.41,18.29,7.9943,6,5,4,7/7/2024,
6 5 5,559,light green-dark green,44.97,21.77,21.12,13.604,6,5,5,7/7/2024,
6 5 6,560,light green-dark green,41.56,20.79,19.12,11.6608,6,5,6,7/7/2024,
2 1 1,561,light green-pink,46.46,23.01,21.29,14.2995,2,1,1,7/7/2024,
2 1 2,562,light green-pink,42.22,21.88,18.04,11.048,2,1,2,7/7/2024,
2 1 3,563,light green-pink,44.97,21.87,20.72,15.2831,2,1,3,7/7/2024,
2 1 4,564,light green-pink,45.62,24.2,20.78,12.658,2,1,4,7/7/2024,
2 1 5,565,light green-pink,46.58,21.27,22.85,13.9407,2,1,5,7/7/2024,
2 1 6,566,light green-pink,40.68,20.87,19.88,10.1515,2,1,6,7/7/2024,
2 2 1,567,light green-pink,46.51,22.4,21.14,12.7207,2,2,1,7/7/2024,
2 2 2,568,light green-pink,61.96,27.5,28.82,29.8294,2,2,2,7/7/2024,
2 2 3,569,light green-pink,47.84,25.2,23.88,16.1411,2,2,3,7/7/2024,
2 2 4,570,light green-pink,42.62,21.53,19.59,10.6881,2,2,4,7/7/2024,
2 2 5,571,light green-pink,50.75,25.83,23.44,19.0048,2,2,5,7/7/2024,
2 2 6,572,light green-pink,46.39,23.1,19.52,11.4181,2,2,6,7/7/2024,
2 3 1,573,light green-pink,46.15,19.97,21.36,10.632,2,3,1,7/7/2024,
2 3 2,574,light green-pink,53.9,27,24.87,21.5695,2,3,2,7/7/2024,
2 3 3,575,light green-pink,38.9,20.21,20,10.0626,2,3,3,7/7/2024,
2 3 4,576,light green-pink,45.59,20.95,21.14,12.8914,2,3,4,7/7/2024,
2 3 5,577,light green-pink,43.53,21.25,19.14,9.5973,2,3,5,7/7/2024,
2 3 6,578,light green-pink,40.83,20.78,19.36,11.0735,2,3,6,7/7/2024,
2 4 1,579,light green-pink,53.48,25.32,24.94,19.2137,2,4,1,7/7/2024,
2 4 2,580,light green-pink,47.03,21.9,21.38,13.3947,2,4,2,7/7/2024,
2 4 3,581,light green-pink,39.31,19.85,16.75,8.295,2,4,3,7/7/2024,
2 4 4,582,light green-pink,46.23,22.85,20.49,14.9329,2,4,4,7/7/2024,
2 4 5,583,light green-pink,45.02,21.58,21.13,14.9314,2,4,5,7/7/2024,
2 4 6,584,light green-pink,50.42,24.33,26.18,20.296,2,4,6,7/7/2024,
2 5 1,585,light green-pink,39.34,21.01,21.06,12.1295,2,5,1,7/7/2024,
2 5 2,586,light green-pink,58.42,27.97,25.68,25.8405,2,5,2,7/7/2024,
2 5 3,587,light green-pink,48.08,23.96,19.76,12.7492,2,5,3,7/7/2024,
2 5 4,588,light green-pink,51.56,24.1,22.32,16.6006,2,5,4,7/7/2024,
2 5 5,589,light green-pink,46.4,20.56,18.05,11.2931,2,5,5,7/7/2024,
2 5 6,590,light green-pink,45.41,20.18,19.35,9.9778,2,5,6,7/7/2024,
11 1 1,591,light green-red-dark green,52.44,23.59,21.05,14.376,11,1,1,7/7/2024,
11 1 2,592,light green-red-dark green,45.85,21.66,21.72,13.6775,11,1,2,7/7/2024,
11 1 3,593,light green-red-dark green,40.89,21.53,18.22,9.6888,11,1,3,7/7/2024,
11 1 4,594,light green-red-dark green,42.69,21.81,20.92,10.6527,11,1,4,7/7/2024,
11 1 5,595,light green-red-dark green,50.79,24.89,21.48,19.9093,11,1,5,7/7/2024,
11 1 6,596,light green-red-dark green,49.21,24.61,20.32,12.7882,11,1,6,7/7/2024,
11 2 1,597,light green-red-dark green,53.51,24.87,24.16,21.4439,11,2,1,7/7/2024,
11 2 2,598,light green-red-dark green,44.77,22.67,18.69,10.5177,11,2,2,7/7/2024,
11 2 3,599,light green-red-dark green,46.74,23.16,19.82,12.4179,11,2,3,7/7/2024,
11 2 4,600,light green-red-dark green,46.35,20.82,19.64,10.2282,11,2,4,7/7/2024,
11 2 5,601,light green-red-dark green,56.81,28.47,26.05,22.1131,11,2,5,7/7/2024,
11 2 6,602,light green-red-dark green,42.83,21.21,19.49,11.9816,11,2,6,7/7/2024,
11 3 1,603,light green-red-dark green,48.18,22.03,21.25,12.8309,11,3,1,7/7/2024,
11 3 2,604,light green-red-dark green,43.9,22.44,18.54,9.9713,11,3,2,7/7/2024,
11 3 3,605,light green-red-dark green,50.54,24.18,22.74,14.4944,11,3,3,7/7/2024,
11 3 4,606,light green-red-dark green,47.33,22.87,21.13,15.0921,11,3,4,7/7/2024,
11 3 5,607,light green-red-dark green,53.52,24.23,23.58,18.6054,11,3,5,7/7/2024,
11 3 6,608,light green-red-dark green,46.85,23.26,23.21,15.3801,11,3,6,7/7/2024,
11 4 1,609,light green-red-dark green,52.96,23.67,24.6,17.4691,11,4,1,7/7/2024,
11 4 2,610,light green-red-dark green,46.69,23.46,20.55,14.6325,11,4,2,7/7/2024,
11 4 3,611,light green-red-dark green,47.43,22.76,21.21,13.1366,11,4,3,7/7/2024,
11 4 4,612,light green-red-dark green,51.11,24.09,23.23,21.8298,11,4,4,7/7/2024,
11 4 5,613,light green-red-dark green,46.39,22.99,23.57,17.5591,11,4,5,7/7/2024,
11 4 6,614,light green-red-dark green,42.6,21.38,18.1,9.12,11,4,6,7/7/2024,
11 5 1,615,light green-red-dark green,60.09,28.05,28.04,28.3517,11,5,1,7/7/2024,
11 5 2,616,light green-red-dark green,55.27,25.72,23.23,18.7749,11,5,2,7/7/2024,
11 5 3,617,light green-red-dark green,45.9,21.77,20.28,12.332,11,5,3,7/7/2024,
11 5 4,618,light green-red-dark green,55.48,26.97,25.39,25.2511,11,5,4,7/7/2024,
11 5 5,619,light green-red-dark green,45.99,21.34,17.66,10.369,11,5,5,7/7/2024,
11 5 6,620,light green-red-dark green,50.7,23.41,19.95,15.3823,11,5,6,7/7/2024,
1 1 1,621,dark green-light green-pink,46.07,23.07,21.68,14.721,1,1,1,7/7/2024,
